NUMERO;COD_PRODUCTO;COD_PRESENTACION;CANTIDAD_SOLICITADA;CANTIDAD_RECIBIDA;COD_PROVEEDOR_ELEGIDO;FECHA_CREACION;FECHA_MAXIMA_PROPUESTAS;FECHA_ESPERADA_ENTREGA;FECHA_ENTREGA;CALIFICACION_ENTREGA;HA_SIDO_ELEGIDA;HA_SIDO_SATISFECHA;
9515548;67;9;15;0;NULL;TO_DATE('2013-11-20','YYYY-MM-DD');TO_TIMESTAMP('2013-11-30 02:40:18','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
5711266;67;8;7;7;'noju2@yahoo.com';TO_DATE('2013-10-12','YYYY-MM-DD');TO_TIMESTAMP('2013-10-19 18:14:55','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-11-01','YYYY-MM-DD');TO_DATE('2013-11-06','YYYY-MM-DD');0;'Si';'Si';
9622355;51;26;17;0;'tu38@gmail.com';TO_DATE('2013-12-15','YYYY-MM-DD');TO_TIMESTAMP('2013-12-18 11:05:39','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-12-31','YYYY-MM-DD');NULL;NULL;'Si';'No';
4113390;67;10;9;0;NULL;TO_DATE('2013-08-05','YYYY-MM-DD');TO_TIMESTAMP('2013-08-11 23:19:55','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
3402814;36;22;7;0;NULL;TO_DATE('2013-10-21','YYYY-MM-DD');TO_TIMESTAMP('2013-10-21 18:13:23','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
6907560;70;8;20;20;'nu68@gmail.com';TO_DATE('2013-09-26','YYYY-MM-DD');TO_TIMESTAMP('2013-09-29 09:46:39','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-10-07','YYYY-MM-DD');TO_DATE('2013-10-10','YYYY-MM-DD');2;'Si';'Si';
4153427;66;11;1;0;NULL;TO_DATE('2013-10-15','YYYY-MM-DD');TO_TIMESTAMP('2013-10-25 02:01:01','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
3640588;53;12;8;8;'tu95@hotmail.com';TO_DATE('2013-07-31','YYYY-MM-DD');TO_TIMESTAMP('2013-08-05 20:34:17','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-08-18','YYYY-MM-DD');TO_DATE('2013-08-17','YYYY-MM-DD');5;'Si';'Si';
6749585;26;16;7;0;NULL;TO_DATE('2013-10-23','YYYY-MM-DD');TO_TIMESTAMP('2013-11-01 18:57:00','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
1878353;29;16;3;0;NULL;TO_DATE('2013-11-23','YYYY-MM-DD');TO_TIMESTAMP('2013-11-24 10:44:15','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
3920379;30;21;1;0;'xu51@gmail.com';TO_DATE('2014-03-06','YYYY-MM-DD');TO_TIMESTAMP('2014-03-15 13:01:44','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-03-30','YYYY-MM-DD');NULL;NULL;'Si';'No';
8088096;13;16;14;0;NULL;TO_DATE('2013-10-09','YYYY-MM-DD');TO_TIMESTAMP('2013-10-13 19:53:50','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
4433314;61;22;11;0;NULL;TO_DATE('2014-03-11','YYYY-MM-DD');TO_TIMESTAMP('2014-03-12 12:03:31','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
5617092;67;4;15;0;NULL;TO_DATE('2014-02-13','YYYY-MM-DD');TO_TIMESTAMP('2014-02-23 09:30:20','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
5458970;55;21;3;4;'ja76@yahoo.com';TO_DATE('2014-04-19','YYYY-MM-DD');TO_TIMESTAMP('2014-04-29 11:06:50','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-05-09','YYYY-MM-DD');TO_DATE('2014-05-10','YYYY-MM-DD');4;'Si';'Si';
9910075;41;12;6;6;'yi10@hotmail.com';TO_DATE('2013-07-06','YYYY-MM-DD');TO_TIMESTAMP('2013-07-13 17:30:21','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-07-21','YYYY-MM-DD');TO_DATE('2013-07-18','YYYY-MM-DD');5;'Si';'Si';
9555470;60;26;2;0;'zuze91@hotmail.com';TO_DATE('2013-08-17','YYYY-MM-DD');TO_TIMESTAMP('2013-08-23 13:11:13','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-09-04','YYYY-MM-DD');NULL;NULL;'Si';'No';
9207166;71;5;16;16;'pumu18@uniandes.edu.co';TO_DATE('2013-10-31','YYYY-MM-DD');TO_TIMESTAMP('2013-11-04 00:52:12','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-11-18','YYYY-MM-DD');TO_DATE('2013-11-17','YYYY-MM-DD');5;'Si';'Si';
5075450;21;27;1;1;'luqi10@uniandes.edu.co';TO_DATE('2013-11-10','YYYY-MM-DD');TO_TIMESTAMP('2013-11-19 16:26:46','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-11-29','YYYY-MM-DD');TO_DATE('2013-11-29','YYYY-MM-DD');5;'Si';'Si';
8431191;41;29;10;19;'malo56@yahoo.com';TO_DATE('2013-09-24','YYYY-MM-DD');TO_TIMESTAMP('2013-09-28 17:53:28','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-10-06','YYYY-MM-DD');TO_DATE('2013-10-10','YYYY-MM-DD');1;'Si';'Si';
1977374;69;5;17;0;'kono15@uniandes.edu.co';TO_DATE('2013-10-13','YYYY-MM-DD');TO_TIMESTAMP('2013-10-20 09:48:40','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-11-04','YYYY-MM-DD');NULL;NULL;'Si';'No';
9556610;55;20;14;14;'pi39@gmail.com';TO_DATE('2014-03-19','YYYY-MM-DD');TO_TIMESTAMP('2014-03-22 18:15:58','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-03-29','YYYY-MM-DD');TO_DATE('2014-03-25','YYYY-MM-DD');5;'Si';'Si';
9715613;69;10;7;0;'na14@hotmail.com';TO_DATE('2013-04-30','YYYY-MM-DD');TO_TIMESTAMP('2013-05-07 20:50:17','YYYY-MM-DD HH24:MI:SS');TO_DATE('2013-05-18','YYYY-MM-DD');NULL;NULL;'Si';'No';
1711637;71;8;7;0;'wi59@yahoo.com';TO_DATE('2014-02-05','YYYY-MM-DD');TO_TIMESTAMP('2014-02-11 07:09:12','YYYY-MM-DD HH24:MI:SS');TO_DATE('2014-02-22','YYYY-MM-DD');NULL;NULL;'Si';'No';
4934716;14;14;10;0;NULL;TO_DATE('2013-12-01','YYYY-MM-DD');TO_TIMESTAMP('2013-12-07 14:18:12','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
9323434;60;19;6;0;NULL;TO_DATE('2013-06-15','YYYY-MM-DD');TO_TIMESTAMP('2013-06-18 11:24:01','YYYY-MM-DD HH24:MI:SS');NULL;NULL;NULL;'No';'No';
