NUMERO;COD_USUARIO;FECHA_CREACION;FECHA_ESPERADA_ENTREGA;FECHA_ENTREGA;PRECIO_CABANDES;HA_SIDO_CANCELADO;HA_SIDO_ENTREGADO;
7018710;'be4@hotmail.com';TO_DATE('2013-10-03','YYYY-MM-DD');TO_DATE('2013-10-16','YYYY-MM-DD');NULL;213399;'No';'No';
3803904;'biva98@yahoo.com';TO_DATE('2013-06-18','YYYY-MM-DD');TO_DATE('2013-07-01','YYYY-MM-DD');TO_DATE('2013-07-02','YYYY-MM-DD');105706;'No';'Si';
4597003;'di98@gmail.com';TO_DATE('2013-05-21','YYYY-MM-DD');TO_DATE('2013-05-29','YYYY-MM-DD');TO_DATE('2013-05-27','YYYY-MM-DD');288893;'No';'Si';
7297585;'xo35@uniandes.edu.co';TO_DATE('2013-07-10','YYYY-MM-DD');TO_DATE('2013-07-18','YYYY-MM-DD');TO_DATE('2013-07-22','YYYY-MM-DD');220487;'No';'Si';
9614683;'nu13@uniandes.edu.co';TO_DATE('2014-04-16','YYYY-MM-DD');TO_DATE('2014-04-29','YYYY-MM-DD');TO_DATE('2014-05-03','YYYY-MM-DD');125772;'No';'Si';
7083066;'lofo49@hotmail.com';TO_DATE('2013-05-08','YYYY-MM-DD');TO_DATE('2013-05-18','YYYY-MM-DD');NULL;287877;'No';'No';
8827977;'tade71@uniandes.edu.co';TO_DATE('2014-04-10','YYYY-MM-DD');TO_DATE('2014-04-22','YYYY-MM-DD');NULL;288305;'No';'No';
2486849;'xi40@gmail.com';TO_DATE('2013-04-21','YYYY-MM-DD');TO_DATE('2013-04-28','YYYY-MM-DD');TO_DATE('2013-04-27','YYYY-MM-DD');149647;'No';'Si';
4388108;'zo79@hotmail.com';TO_DATE('2013-12-16','YYYY-MM-DD');TO_DATE('2013-12-31','YYYY-MM-DD');NULL;68638;'Si';'No';
8257529;'cu59@gmail.com';TO_DATE('2014-02-18','YYYY-MM-DD');TO_DATE('2014-03-04','YYYY-MM-DD');NULL;77393;'No';'No';
9084157;'bate5@uniandes.edu.co';TO_DATE('2014-03-27','YYYY-MM-DD');TO_DATE('2014-04-09','YYYY-MM-DD');NULL;178350;'No';'No';
8172674;'daso14@uniandes.edu.co';TO_DATE('2013-09-30','YYYY-MM-DD');TO_DATE('2013-10-08','YYYY-MM-DD');TO_DATE('2013-10-06','YYYY-MM-DD');248631;'No';'Si';
5269705;'sezi14@gmail.com';TO_DATE('2014-04-13','YYYY-MM-DD');TO_DATE('2014-04-25','YYYY-MM-DD');TO_DATE('2014-04-28','YYYY-MM-DD');291829;'No';'Si';
