COD_USUARIO;COD_TIPO_PRODUCTO;CALIFICACION;
'bi18@yahoo.com';3;0.0;
'nese28@uniandes.edu.co';1;NULL;
'ko62@hotmail.com';2;3.9;
'fo67@yahoo.com';3;5.0;
'juzo69@yahoo.com';2;NULL;
'vima99@yahoo.com';3;NULL;
'xe60@hotmail.com';1;NULL;
'rola90@uniandes.edu.co';1;3.0;
'go36@gmail.com';1;2.1;
'xa62@uniandes.edu.co';3;4.9;
're16@uniandes.edu.co';2;1.7;
'bilu91@gmail.com';2;0.4;
'xiju86@hotmail.com';1;3.3;
'vi15@gmail.com';2;NULL;
'qe95@uniandes.edu.co';1;NULL;
'vu53@hotmail.com';1;NULL;
'le97@uniandes.edu.co';2;NULL;
'to91@gmail.com';2;3.7;
'roha13@uniandes.edu.co';1;NULL;
'pixu63@uniandes.edu.co';2;1.4;
'vomu47@yahoo.com';1;1.1;
'lu70@gmail.com';2;NULL;
'xuya77@hotmail.com';2;1.7;
'vazi20@hotmail.com';2;2.3;
'joca23@hotmail.com';1;3.9;
'ya84@uniandes.edu.co';2;1.9;
'dixu22@yahoo.com';3;2.2;
'pa82@uniandes.edu.co';2;3.1;
'rofi34@gmail.com';3;NULL;
'po62@yahoo.com';1;2.2;
'leju18@hotmail.com';1;3.2;
'ti55@uniandes.edu.co';3;NULL;
'hexo12@yahoo.com';2;NULL;
'lu59@uniandes.edu.co';1;NULL;
'lodi27@hotmail.com';1;3.9;
'soxo3@gmail.com';2;NULL;
'ke46@gmail.com';1;2.1;
'sopu71@gmail.com';2;NULL;
'nobe91@yahoo.com';2;NULL;
'ne45@yahoo.com';1;3.3;
'qaco88@gmail.com';2;NULL;
'ceti18@hotmail.com';3;0.1;
'tayu63@gmail.com';1;1.0;
'guwa51@hotmail.com';2;3.2;
'weqo42@gmail.com';3;NULL;
'na80@gmail.com';3;NULL;
'peqe75@gmail.com';1;NULL;
'xuze3@yahoo.com';2;1.5;
'du32@hotmail.com';1;NULL;
'li12@yahoo.com';2;NULL;
'ce47@uniandes.edu.co';1;2.4;
'to8@yahoo.com';3;2.1;
'kido42@uniandes.edu.co';3;1.9;
'ru61@uniandes.edu.co';3;NULL;
'jaqe80@uniandes.edu.co';1;2.8;
'paki19@yahoo.com';1;NULL;
'fu41@hotmail.com';3;1.9;
'zufo3@hotmail.com';1;3.4;
'pavi78@uniandes.edu.co';1;2.6;
'seqo49@uniandes.edu.co';2;3.6;
'yi85@uniandes.edu.co';1;2.5;
'bu86@yahoo.com';3;4.9;
'mo36@gmail.com';3;4.1;
'lo35@uniandes.edu.co';2;4.3;
'tu39@yahoo.com';2;0.8;
'jo58@yahoo.com';3;0.0;
'to52@gmail.com';2;3.9;
'cipe51@uniandes.edu.co';3;1.1;
'te99@hotmail.com';3;NULL;
'mugu51@yahoo.com';3;0.3;
'cava5@uniandes.edu.co';2;NULL;
'mu79@yahoo.com';2;2.4;
'ha92@hotmail.com';3;4.3;
'li91@hotmail.com';1;NULL;
'ne89@gmail.com';3;5.0;
'xa73@gmail.com';3;NULL;
'wuco79@uniandes.edu.co';2;NULL;
'nazi42@yahoo.com';2;NULL;
'sumo31@yahoo.com';2;NULL;
'coye46@hotmail.com';3;4.3;
'da58@uniandes.edu.co';1;0.5;
'kiyi82@hotmail.com';1;NULL;
'yagi45@uniandes.edu.co';2;4.9;
'loma69@uniandes.edu.co';3;2.8;
'du84@hotmail.com';1;NULL;
'vebu76@gmail.com';3;0.8;
'zadi37@gmail.com';3;3.4;
'pa5@hotmail.com';3;2.1;
'pize39@uniandes.edu.co';1;1.8;
'wu84@uniandes.edu.co';2;NULL;
'jaca2@uniandes.edu.co';2;NULL;
'tide69@gmail.com';1;1.6;
'budi37@hotmail.com';1;3.9;
'ne61@gmail.com';2;4.5;
'noka71@hotmail.com';2;NULL;
'yugi3@gmail.com';1;3.8;
'kono15@uniandes.edu.co';3;NULL;
'fe25@hotmail.com';3;0.3;
'yupe52@uniandes.edu.co';1;1.9;
'we61@uniandes.edu.co';2;2.3;
'juke37@hotmail.com';2;NULL;
'wi98@gmail.com';2;NULL;
'buje77@yahoo.com';1;4.2;
'lane30@gmail.com';3;NULL;
'zuyu64@yahoo.com';1;0.2;
'le55@uniandes.edu.co';3;2.9;
'we96@uniandes.edu.co';1;3.1;
'qe81@yahoo.com';3;4.1;
'me10@hotmail.com';3;2.3;
'cixu77@gmail.com';2;3.4;
'da16@hotmail.com';3;3.6;
'ro8@gmail.com';3;2.8;
'vame92@hotmail.com';3;0.6;
'tixu46@uniandes.edu.co';2;2.9;
'di6@uniandes.edu.co';2;2.1;
'fi88@gmail.com';1;NULL;
'cu80@gmail.com';1;NULL;
'zilo81@yahoo.com';2;NULL;
'xi93@yahoo.com';1;NULL;
'bopu87@uniandes.edu.co';3;1.0;
'moye88@uniandes.edu.co';1;NULL;
'qu38@hotmail.com';2;1.2;
'zexa57@hotmail.com';3;NULL;
'vajo37@uniandes.edu.co';3;1.6;
'qobu13@uniandes.edu.co';1;1.5;
'ne11@gmail.com';1;NULL;
'nalo12@hotmail.com';2;NULL;
'yi10@hotmail.com';1;NULL;
'fu8@uniandes.edu.co';2;NULL;
'ge96@uniandes.edu.co';1;0.3;
'xo39@gmail.com';2;NULL;
'fiya56@gmail.com';3;0.2;
'vedu72@uniandes.edu.co';3;2.6;
'ne51@gmail.com';2;1.4;
'ko84@hotmail.com';3;3.6;
'fo12@yahoo.com';3;2.8;
'qofi60@uniandes.edu.co';1;NULL;
'suge29@gmail.com';1;4.3;
'geja4@hotmail.com';2;4.6;
'yona54@hotmail.com';2;NULL;
'xe34@uniandes.edu.co';3;NULL;
'bumo59@uniandes.edu.co';1;1.3;
'yu28@hotmail.com';2;0.7;
'za47@gmail.com';2;NULL;
'fi10@yahoo.com';2;2.6;
'ku47@gmail.com';1;NULL;
'jasi97@uniandes.edu.co';1;NULL;
'geda25@uniandes.edu.co';2;2.1;
'nolu63@gmail.com';3;NULL;
'cu69@hotmail.com';1;1.4;
'lexi87@hotmail.com';2;2.4;
