DIRECCION_ELECTRONICA;NOMBRE;DOC_IDENTIFICACION;PALABRA_CLAVE;CIUDAD;DEPARTAMENTO;NACIONALIDAD;DIRECCION_FISICA;CODIGO_POSTAL;TELEFONO;ROL;TIPO;
'cd.bedoya212@uniandes.edu.co';'Claudia Bedoya';'C.C. 12';'abc';'Bogotá';'Cundinamarca';'Colombiano';NULL;NULL;NULL;'Administrador general CabAndes';'Persona natural';
'js.salamanca@uniandes.edu.co';'Johnathan Salamanca';'C.C. 34';'abc';'Bogotá';'Cundinamarca';'Colombiano';NULL;NULL;NULL;'Administrador general CabAndes';'Persona natural';
'bi18@yahoo.com';'Gerardo Rivero Valdéz';'C.C. 316486262';'Ii19wJgg';'Barranquilla';'Atlántico';'Colombiano';NULL;883;'3219745';'Proveedor';'Persona natural';
'ji39@yahoo.com';'Mónica Martínez Aguirre';'C.C. 602543198';'S0COjxqQp';'Bucaramanga';'Santander';'Colombiano';'Calle 13 #89-81';NULL;'2026517';'Administrador de local';'Persona natural';
'bo39@hotmail.com';'Restaurante 732';'NIT 748227726';'b2rUVbBf';'Cali';'Valle del Cauca';'Colombiano';'Carrera 89 #85-26';669;'2640723';'Comprador mayorista';'Empresa';
'nese28@uniandes.edu.co';'Erica Lilia Acosta Vásquez';'C.C. 833503730';'63HVgDGz';NULL;NULL;NULL;'Calle 47 #86-33';793;NULL;'Proveedor';'Persona natural';
'me32@uniandes.edu.co';'Lucas Martín Figueroa Pérez';'C.C. 153811577';'mZXD8PRF0Oy';'Medellín';'Antioquia';'Colombiano';'Carrera 39 #19-01';276;NULL;'Administrador de local';'Persona natural';
'ni27@uniandes.edu.co';'Ana Ingrid Acuña Arias';'C.C. 670989481';'F6ZvM0Zer7z';'Barranquilla';'Atlántico';'Colombiano';'Calle 92 #88-32';NULL;'7763438';'Administrador de local';'Persona natural';
'ko62@hotmail.com';'Henry Óscar Molina Cáceres';'C.C. 835464875';'teREiKUT';'Cali';'Valle del Cauca';'Colombiano';'Carrera 23 #43-40';394;'7061720';'Proveedor';'Persona natural';
'heru94@hotmail.com';'Restaurante 987';'NIT 88267935';'IyOp2wZ64NWK';'Cali';'Valle del Cauca';'Colombiano';NULL;293;'6226155';'Comprador mayorista';'Empresa';
'xe69@gmail.com';'Henry Morales Fernández';'C.C. 137165005';'nGQKLBWM3U';'Bucaramanga';'Santander';'Colombiano';'Calle 5 #74-61';NULL;NULL;'Administrador de local';'Persona natural';
'fo67@yahoo.com';'Juliana Viviana Velázquez Castillo';'C.C. 519745815';'RjeuWJbG7W';'Bogotá';'Cundinamarca';'Colombiano';NULL;728;NULL;'Proveedor';'Persona natural';
'juzo69@yahoo.com';'Cecilia Aguirre Gutiérrez';'C.C. 953829298';'zyvogPnWUz';NULL;NULL;NULL;NULL;NULL;'4826498';'Proveedor';'Persona natural';
'so82@gmail.com';'Hotel 771';'NIT 536114016';'D6g7VLA4';NULL;NULL;NULL;'Carrera 46 #62-57';612;'6733653';'Comprador mayorista';'Empresa';
'vima99@yahoo.com';'Lorenzo Iván Correa Muñoz';'C.C. 725276671';'fjhH93ber8';'Bogotá';'Cundinamarca';'Colombiano';NULL;NULL;'5465375';'Proveedor';'Persona natural';
'zebo70@yahoo.com';'Juan Virgilio Medina Méndez';'C.C. 148706799';'kn0TkKvZGojC';'Bogotá';'Cundinamarca';'Colombiano';NULL;71;NULL;'Administrador de local';'Persona natural';
'zihi33@hotmail.com';'Angélica Cármen Ávila Castro';'C.C. 509027020';'RuVQwfP4PiJ0';NULL;NULL;NULL;NULL;520;'2236971';'Administrador de local';'Persona natural';
'ku50@hotmail.com';'Hotel 552';'NIT 304180437';'aHQCLUhlls';'Bogotá';'Cundinamarca';'Colombiano';'Carrera 28 #14-28';309;'2860307';'Comprador mayorista';'Empresa';
'te97@gmail.com';'Horacio Samuel Morales Ríos';'C.C. 813954745';'CUXG9oUZgALI';'Bucaramanga';'Santander';'Colombiano';NULL;NULL;'4346408';'Administrador de local';'Persona natural';
'mi71@yahoo.com';'Vicente Chávez Pérez';'C.C. 781344181';'HpPsb8MQ';'Medellín';'Antioquia';'Colombiano';NULL;NULL;NULL;'Administrador de local';'Persona natural';
'nolo72@uniandes.edu.co';'Lola Castillo Cáceres';'C.C. 106826463';'AKAuMX5h';NULL;NULL;NULL;NULL;NULL;'3184036';'Administrador de local';'Persona natural';
'xe60@hotmail.com';'Claudia Matilde Rojas Escobar';'C.C. 807566333';'GU6tGTwWnE';NULL;NULL;NULL;'Calle 53 #50-88';NULL;'3544388';'Proveedor';'Persona natural';
'rola90@uniandes.edu.co';'Helena Hernández Rodríguez';'C.C. 363492181';'VjgHuPYX4';'Bucaramanga';'Santander';'Colombiano';NULL;3;'6901070';'Proveedor';'Persona natural';
'to93@yahoo.com';'Restaurante 37';'NIT 625298025';'aJXhm3wNJ';NULL;NULL;NULL;NULL;688;'3011845';'Comprador mayorista';'Empresa';
'go36@gmail.com';'Margarita Beatriz Ávila Chávez';'C.C. 528216709';'5swjOWNJa6';'Medellín';'Antioquia';'Colombiano';NULL;NULL;'3885076';'Proveedor';'Persona natural';
'to95@gmail.com';'Hotel 139';'NIT 438657593';'cTgQzPR8zh';'Medellín';'Antioquia';'Colombiano';'Calle 35 #49-75';NULL;'5261433';'Comprador mayorista';'Empresa';
'qe80@uniandes.edu.co';'Supermercado 159';'NIT 652743483';'YRgI17Wl';'Medellín';'Antioquia';'Colombiano';'Carrera 30 #78-43';268;'2225016';'Comprador mayorista';'Empresa';
'hidi1@hotmail.com';'Hotel 285';'NIT 663017291';'9QPJ8a8l8w9F';'Bucaramanga';'Santander';'Colombiano';'Carrera 37 #21-05';309;'2318405';'Comprador mayorista';'Empresa';
'mi14@uniandes.edu.co';'Guillermo Gabriel Herrera González';'C.C. 812934557';'o5ni3FMX';'Bucaramanga';'Santander';'Colombiano';NULL;NULL;NULL;'Administrador de local';'Persona natural';
'to86@gmail.com';'Restaurante 886';'NIT 670451454';'Iqah5zLil';'Cali';'Valle del Cauca';'Colombiano';NULL;644;'5241117';'Comprador mayorista';'Empresa';
'xu4@uniandes.edu.co';'Amparo Lucía Ávila Fernández';'C.C. 72085146';'br4GnoEe7q';'Cali';'Valle del Cauca';'Colombiano';'Carrera 8 #34-44';708;NULL;'Administrador de local';'Persona natural';
'mu11@uniandes.edu.co';'Hotel 899';'NIT 267926914';'r9BS5fpNel';'Bucaramanga';'Santander';'Colombiano';NULL;525;'7077946';'Comprador mayorista';'Empresa';
'xa62@uniandes.edu.co';'Sara Josefina Valdéz Correa';'C.C. 111331604';'6sSt1ndza7';'Barranquilla';'Atlántico';'Colombiano';NULL;490;'4729329';'Proveedor';'Persona natural';
're16@uniandes.edu.co';'Teresa Cáceres Moreno';'C.C. 293085530';'MT6oCB1GnD7B';'Cali';'Valle del Cauca';'Colombiano';NULL;NULL;'4767727';'Proveedor';'Persona natural';
'do4@uniandes.edu.co';'Hotel 688';'NIT 487934740';'Vit6yyRHux';'Bogotá';'Cundinamarca';'Colombiano';NULL;552;NULL;'Comprador mayorista';'Empresa';
'wo79@yahoo.com';'Supermercado 814';'NIT 914027402';'qeaIC5QoHrOs';'Barranquilla';'Atlántico';'Colombiano';'Carrera 40 #22-36';798;'3181644';'Comprador mayorista';'Empresa';
'bilu91@gmail.com';'Isabel Angélica Correa Silva';'C.C. 863212758';'e7GrgoO9fG';'Medellín';'Antioquia';'Colombiano';'Carrera 84 #94-80';NULL;'5828143';'Proveedor';'Persona natural';
'tipu74@uniandes.edu.co';'Efraín Leiva Salamanca';'C.C. 133297344';'aReTLvDv0JG';'Bogotá';'Cundinamarca';'Colombiano';NULL;950;'5315292';'Administrador de local';'Persona natural';
'mumu25@yahoo.com';'Supermercado 56';'NIT 129158536';'XfAKOQSvt1';'Bogotá';'Cundinamarca';'Colombiano';'Calle 65 #51-79';708;'3817747';'Comprador mayorista';'Empresa';
'vela43@hotmail.com';'Restaurante 251';'NIT 583402432';'Zmor7NuMBdy';'Cali';'Valle del Cauca';'Colombiano';'Calle 14 #69-31';NULL;'5769155';'Comprador mayorista';'Empresa';
'wu28@yahoo.com';'Mónica Ingrid Medina Rivero';'C.C. 895732933';'3AChHnkNnQ4F';NULL;NULL;NULL;'Calle 67 #40-59';748;NULL;'Administrador de local';'Persona natural';
'xiju86@hotmail.com';'Consuelo Medina Córdoba';'C.C. 872569687';'npdGaw3gJ5';'Bucaramanga';'Santander';'Colombiano';'Carrera 79 #68-39';607;'5374519';'Proveedor';'Persona natural';
'vi15@gmail.com';'Amparo Velázquez Figueroa';'C.C. 229878689';'e1mlx8BIk5u';'Barranquilla';'Atlántico';'Colombiano';'Calle 86 #63-92';NULL;'4403406';'Proveedor';'Persona natural';
'bico12@yahoo.com';'Pablo Joaquín Castro López';'C.C. 317546743';'aCH6OmGO8XAZ';NULL;NULL;NULL;NULL;NULL;'6404949';'Administrador de local';'Persona natural';
'veki71@uniandes.edu.co';'Restaurante 216';'NIT 304396179';'eDuxslhJMEV7';'Barranquilla';'Atlántico';'Colombiano';'Calle 33 #19-25';NULL;NULL;'Comprador mayorista';'Empresa';
'deqi28@hotmail.com';'Restaurante 867';'NIT 661350080';'UwxQo9EQZ';'Medellín';'Antioquia';'Colombiano';'Calle 3 #30-64';752;NULL;'Comprador mayorista';'Empresa';
'fuke46@yahoo.com';'Supermercado 294';'NIT 492289141';'783C9smH';'Cali';'Valle del Cauca';'Colombiano';'Carrera 95 #19-98';939;'3769512';'Comprador mayorista';'Empresa';
'qisa5@uniandes.edu.co';'Restaurante 153';'NIT 172943932';'YHY1SDddr';'Barranquilla';'Atlántico';'Colombiano';'Calle 85 #64-02';NULL;NULL;'Comprador mayorista';'Empresa';
'fado22@gmail.com';'Luisa Carolina Páez García';'C.C. 899448914';'5FJ9bPoRHD8';'Barranquilla';'Atlántico';'Colombiano';'Calle 54 #94-78';NULL;NULL;'Administrador de local';'Persona natural';
'qati23@yahoo.com';'Restaurante 287';'NIT 275850620';'l5gZYBRLe';'Cali';'Valle del Cauca';'Colombiano';'Carrera 15 #2-59';34;NULL;'Comprador mayorista';'Empresa';
'ru65@gmail.com';'Hotel 602';'NIT 396194392';'54GQqeHj';'Medellín';'Antioquia';'Colombiano';NULL;NULL;NULL;'Comprador mayorista';'Empresa';
'benu23@uniandes.edu.co';'Supermercado 586';'NIT 132761780';'ULW1yFrq9';'Bucaramanga';'Santander';'Colombiano';'Calle 60 #57-11';901;'5430233';'Comprador mayorista';'Empresa';
'qe95@uniandes.edu.co';'Esperanza Eliana Vásquez Correa';'C.C. 267936177';'AGbBZKtOdHO';'Medellín';'Antioquia';'Colombiano';NULL;NULL;'2257616';'Proveedor';'Persona natural';
'jiya59@yahoo.com';'Hotel 268';'NIT 725339533';'ihVPNYcPSG';'Bogotá';'Cundinamarca';'Colombiano';'Calle 33 #86-79';739;'3545359';'Comprador mayorista';'Empresa';
'ko82@gmail.com';'Supermercado 413';'NIT 969648302';'QzM9n8DaZ61';'Cali';'Valle del Cauca';'Colombiano';'Calle 4 #78-26';NULL;NULL;'Comprador mayorista';'Empresa';
'vu53@hotmail.com';'Camila Maldonado Castro';'C.C. 21179257';'aN4pbCZrff';'Bogotá';'Cundinamarca';'Colombiano';'Carrera 66 #20-52';310;NULL;'Proveedor';'Persona natural';
'gipe93@hotmail.com';'Restaurante 481';'NIT 435679596';'2l0u9k83YaT';'Bucaramanga';'Santander';'Colombiano';NULL;370;NULL;'Comprador mayorista';'Empresa';
'le97@uniandes.edu.co';'Leonor Mariana Torres Núñez';'C.C. 859064001';'rzOMZSNwP';'Medellín';'Antioquia';'Colombiano';'Calle 57 #19-95';950;'4893151';'Proveedor';'Persona natural';
'gixi51@yahoo.com';'Emilio Gabriel Jiménez Cabrera';'C.C. 485404248';'ecFAbJjc';'Barranquilla';'Atlántico';'Colombiano';NULL;NULL;'2727865';'Administrador de local';'Persona natural';
'to91@gmail.com';'Vicente Martín Méndez Correa';'C.C. 649799657';'uhLYCaDt2lIL';'Cali';'Valle del Cauca';'Colombiano';'Calle 53 #43-46';173;'3972025';'Proveedor';'Persona natural';
'roha13@uniandes.edu.co';'Josefina Ximena Pérez Ortiz';'C.C. 452810572';'7nCa3ANIi6dH';'Cali';'Valle del Cauca';'Colombiano';NULL;588;'6296725';'Proveedor';'Persona natural';
'mare65@hotmail.com';'Supermercado 320';'NIT 202641400';'yoDtLdEPe4';'Cali';'Valle del Cauca';'Colombiano';'Carrera 19 #68-08';NULL;'4137753';'Comprador mayorista';'Empresa';
'pixu63@uniandes.edu.co';'Johanna Julieta Acuña Cruz';'C.C. 964517997';'etT8s934euq';'Bogotá';'Cundinamarca';'Colombiano';'Carrera 22 #91-59';NULL;NULL;'Proveedor';'Persona natural';
'ka83@gmail.com';'Elvira Gómez Rojas';'C.C. 718536337';'jTuDS1lmNi';NULL;NULL;NULL;'Calle 55 #68-20';493;NULL;'Administrador de local';'Persona natural';
'leli97@yahoo.com';'Fernando Julio Villalba Jiménez';'C.C. 647511225';'BLn1avqF';NULL;NULL;NULL;'Carrera 35 #28-55';751;'2751443';'Administrador de local';'Persona natural';
'nami42@uniandes.edu.co';'Restaurante 39';'NIT 789138653';'6f4SSr420v';'Cali';'Valle del Cauca';'Colombiano';'Carrera 45 #37-55';224;'3291585';'Comprador mayorista';'Empresa';
'ni36@yahoo.com';'Jorge Humberto Velázquez Castillo';'C.C. 273192745';'7if8NJaMxN';'Medellín';'Antioquia';'Colombiano';'Carrera 99 #93-06';NULL;'5419624';'Administrador de local';'Persona natural';
'ne28@gmail.com';'Hotel 979';'NIT 337896869';'OmxH3juhM6O';'Bogotá';'Cundinamarca';'Colombiano';'Calle 47 #92-17';NULL;'2488461';'Comprador mayorista';'Empresa';
'vomu47@yahoo.com';'Lucía Córdoba Jiménez';'C.C. 230286524';'HkOOFMZh';'Barranquilla';'Atlántico';'Colombiano';'Calle 35 #92-65';475;'4399220';'Proveedor';'Persona natural';
'lu70@gmail.com';'Juana Gabriela Rojas Figueroa';'C.C. 394669010';'VwXGxrsDHzcY';'Cali';'Valle del Cauca';'Colombiano';'Calle 61 #36-88';NULL;'5261037';'Proveedor';'Persona natural';
'cu33@gmail.com';'Restaurante 971';'NIT 462828113';'IOPPLrBPPkz';'Medellín';'Antioquia';'Colombiano';NULL;971;NULL;'Comprador mayorista';'Empresa';
'ni44@uniandes.edu.co';'Trinidad Gutiérrez Suárez';'C.C. 827558414';'JLkVFrgkP22';'Medellín';'Antioquia';'Colombiano';'Calle 86 #54-86';404;'5977887';'Administrador de local';'Persona natural';
'xuya77@hotmail.com';'Edgar David Chávez Chávez';'C.C. 750467850';'06awaXfow';NULL;NULL;NULL;'Carrera 48 #11-60';460;NULL;'Proveedor';'Persona natural';
'ruju50@yahoo.com';'Restaurante 727';'NIT 197768517';'OQRW7oHIaubG';'Medellín';'Antioquia';'Colombiano';'Calle 59 #92-39';12;'6335830';'Comprador mayorista';'Empresa';
'vazi20@hotmail.com';'Luisa Patricia Cruz Martínez';'C.C. 332194149';'YN24XzVmLy5Y';'Bogotá';'Cundinamarca';'Colombiano';'Carrera 22 #35-49';21;'7492210';'Proveedor';'Persona natural';
'joca23@hotmail.com';'Enrique Jiménez Romero';'C.C. 233291565';'U2xSATM0D';'Bucaramanga';'Santander';'Colombiano';'Carrera 79 #48-50';210;'2281088';'Proveedor';'Persona natural';
'ya84@uniandes.edu.co';'Fabio Fernando Ortiz Rojas';'C.C. 725499578';'xfrl51hAIQm';'Cali';'Valle del Cauca';'Colombiano';NULL;700;'6275339';'Proveedor';'Persona natural';
'dixu22@yahoo.com';'Mariana Josefina Vera Rodríguez';'C.C. 65849715';'adYHGL97nl';'Bogotá';'Cundinamarca';'Colombiano';'Calle 6 #96-06';870;NULL;'Proveedor';'Persona natural';
'pa82@uniandes.edu.co';'Alba Sandra Moreno Aguirre';'C.C. 621627599';'YYC6paYDc';'Cali';'Valle del Cauca';'Colombiano';NULL;NULL;NULL;'Proveedor';'Persona natural';
'qipe68@gmail.com';'Humberto Alfonso Vásquez Mendoza';'C.C. 134581525';'qYplhoQpV';NULL;NULL;NULL;'Carrera 32 #22-85';370;NULL;'Administrador de local';'Persona natural';
'rofi34@gmail.com';'Edgar Gómez Cardozo';'C.C. 725128142';'9nu3aU9WN3B';'Barranquilla';'Atlántico';'Colombiano';'Calle 96 #76-33';NULL;'5513608';'Proveedor';'Persona natural';
'ce70@uniandes.edu.co';'William Jorge Romero Vera';'C.C. 480249067';'vEby8Do1d';NULL;NULL;NULL;'Carrera 10 #56-71';486;NULL;'Administrador de local';'Persona natural';
'ji4@hotmail.com';'Julia Jimena Cabrera Méndez';'C.C. 715009189';'nslfmrEqP';'Medellín';'Antioquia';'Colombiano';'Calle 73 #72-46';NULL;'4900015';'Administrador de local';'Persona natural';
'robi10@yahoo.com';'Hotel 779';'NIT 665299688';'GbgYgWvOrp';'Cali';'Valle del Cauca';'Colombiano';NULL;NULL;NULL;'Comprador mayorista';'Empresa';
'ko55@yahoo.com';'Lola Xiomara Correa Aguirre';'C.C. 338022305';'ywqpXYmqw7';'Cali';'Valle del Cauca';'Colombiano';NULL;NULL;NULL;'Administrador de local';'Persona natural';
'po62@yahoo.com';'Fabiola Arce Ponce';'C.C. 98671297';'SOCEyHeA';'Cali';'Valle del Cauca';'Colombiano';NULL;663;'2851463';'Proveedor';'Persona natural';
'hose83@gmail.com';'Eduardo Rodríguez Duarte';'C.C. 692221191';'2cQohuTd';'Bucaramanga';'Santander';'Colombiano';'Carrera 26 #20-72';746;'6877740';'Administrador de local';'Persona natural';
'leju18@hotmail.com';'Edgar Ávila Aguirre';'C.C. 389285901';'Si8pNSUxOZ';'Cali';'Valle del Cauca';'Colombiano';NULL;637;NULL;'Proveedor';'Persona natural';
'vofe30@yahoo.com';'Sara Vargas Vega';'C.C. 675806069';'UYgrumgX';NULL;NULL;NULL;'Calle 67 #57-33';NULL;'4983897';'Administrador de local';'Persona natural';
'beno69@gmail.com';'Supermercado 846';'NIT 119163269';'kzXu3erJRh';'Medellín';'Antioquia';'Colombiano';'Carrera 15 #24-43';579;'3085098';'Comprador mayorista';'Empresa';
'ti55@uniandes.edu.co';'Fernando Víctor Sánchez Romero';'C.C. 433566807';'yULv04e1a9';'Medellín';'Antioquia';'Colombiano';'Calle 85 #25-66';NULL;NULL;'Proveedor';'Persona natural';
'ha61@gmail.com';'Ximena Vera Fernández';'C.C. 282227695';'VEnlYAdkB';'Cali';'Valle del Cauca';'Colombiano';NULL;377;'3803762';'Administrador de local';'Persona natural';
'ca37@uniandes.edu.co';'Miguel Daniel Acosta Gutiérrez';'C.C. 782381098';'mUCbPdKjgl';'Barranquilla';'Atlántico';'Colombiano';'Calle 6 #90-06';566;'7011873';'Administrador de local';'Persona natural';
'wenu82@gmail.com';'Mónica Paula Velázquez Rivero';'C.C. 249366447';'oKlmxq7NZ';'Bucaramanga';'Santander';'Colombiano';'Carrera 42 #40-84';742;'3978309';'Administrador de local';'Persona natural';
