ID;COD_ADMINISTRADOR;
151;'ji39@yahoo.com';
152;'me32@uniandes.edu.co';
153;'ni27@uniandes.edu.co';
154;'xe69@gmail.com';
155;'zebo70@yahoo.com';
156;'zihi33@hotmail.com';
157;'te97@gmail.com';
158;'mi71@yahoo.com';
159;'nolo72@uniandes.edu.co';
160;'mi14@uniandes.edu.co';
161;'xu4@uniandes.edu.co';
162;'tipu74@uniandes.edu.co';
163;'wu28@yahoo.com';
164;'bico12@yahoo.com';
165;'fado22@gmail.com';
166;'gixi51@yahoo.com';
167;'ka83@gmail.com';
168;'leli97@yahoo.com';
169;'ni36@yahoo.com';
170;'ni44@uniandes.edu.co';
171;'qipe68@gmail.com';
172;'ce70@uniandes.edu.co';
173;'ji4@hotmail.com';
174;'ko55@yahoo.com';
175;'hose83@gmail.com';
176;'vofe30@yahoo.com';
177;'ha61@gmail.com';
178;'ca37@uniandes.edu.co';
179;'wenu82@gmail.com';
180;'va26@gmail.com';
181;'nuku12@yahoo.com';
182;'huqi23@gmail.com';
183;'qe47@hotmail.com';
184;'se30@hotmail.com';
185;'do2@gmail.com';
186;'ga61@hotmail.com';
187;'ku51@uniandes.edu.co';
188;'vazo63@uniandes.edu.co';
189;'le82@hotmail.com';
190;'yixe21@yahoo.com';
191;'fazo8@yahoo.com';
192;'sefi96@uniandes.edu.co';
193;'nu59@gmail.com';
194;'fili55@yahoo.com';
195;'fali22@gmail.com';
196;'wa75@yahoo.com';
197;'co11@uniandes.edu.co';
198;'wa60@gmail.com';
199;'heqi29@hotmail.com';
200;'suga36@uniandes.edu.co';
201;'ru11@hotmail.com';
202;'keta84@uniandes.edu.co';
203;'gici81@gmail.com';
204;'bowi1@yahoo.com';
205;'cuyu59@hotmail.com';
206;'vigi73@hotmail.com';
207;'qe27@yahoo.com';
208;'ki77@gmail.com';
209;'gaso79@gmail.com';
210;'xo71@uniandes.edu.co';
211;'dipa75@yahoo.com';
212;'zi33@uniandes.edu.co';
