COD_LICITACION;COD_PROVEEDOR;PRECIO_TOTAL_OFRECIDO;PRECIO_UNITARIO;CANTIDAD_PIENSA_PROVEER;FECHA_ESPERADA_ENTREGA;NUMERO_LOTE;FECHA_EXPIRACION_LOTE;
5555305;'joca23@hotmail.com';117152;39050;3;TO_DATE('2013-06-23','YYYY-MM-DD');5771035;TO_DATE('2013-06-30','YYYY-MM-DD');
5555305;'ke46@gmail.com';42118;21059;2;TO_DATE('2013-06-21','YYYY-MM-DD');579838;TO_DATE('2013-06-29','YYYY-MM-DD');
5555305;'soxo3@gmail.com';132287;44095;3;TO_DATE('2013-06-26','YYYY-MM-DD');9216418;TO_DATE('2013-07-03','YYYY-MM-DD');
5555305;'vima99@yahoo.com';105061;26265;4;TO_DATE('2013-06-18','YYYY-MM-DD');882714;TO_DATE('2013-06-30','YYYY-MM-DD');
5555305;'vomu47@yahoo.com';28663;14331;2;TO_DATE('2013-06-26','YYYY-MM-DD');8199207;TO_DATE('2013-07-09','YYYY-MM-DD');
9842535;'hexo12@yahoo.com';41027;13675;3;TO_DATE('2014-02-20','YYYY-MM-DD');7926373;TO_DATE('2016-01-14','YYYY-MM-DD');
9842535;'peqe75@gmail.com';253059;50611;5;TO_DATE('2014-02-24','YYYY-MM-DD');7346856;TO_DATE('2016-01-06','YYYY-MM-DD');
9842535;'po62@yahoo.com';146754;48918;3;TO_DATE('2014-02-24','YYYY-MM-DD');9744526;TO_DATE('2015-10-19','YYYY-MM-DD');
9842535;'to91@gmail.com';12657;4219;3;TO_DATE('2014-02-16','YYYY-MM-DD');1125859;TO_DATE('2015-03-08','YYYY-MM-DD');
1476803;'du32@hotmail.com';39383;6563;6;TO_DATE('2013-12-27','YYYY-MM-DD');1968806;TO_DATE('2014-01-04','YYYY-MM-DD');
1476803;'xiju86@hotmail.com';263766;43961;6;TO_DATE('2013-12-26','YYYY-MM-DD');8513410;TO_DATE('2014-01-09','YYYY-MM-DD');
6757363;'dixu22@yahoo.com';147587;21083;7;TO_DATE('2013-11-30','YYYY-MM-DD');335918;TO_DATE('2015-08-29','YYYY-MM-DD');
6757363;'kido42@uniandes.edu.co';96679;8789;11;TO_DATE('2013-12-01','YYYY-MM-DD');1805438;TO_DATE('2015-06-07','YYYY-MM-DD');
6757363;'po62@yahoo.com';155834;12986;12;TO_DATE('2013-12-01','YYYY-MM-DD');3733787;TO_DATE('2015-05-19','YYYY-MM-DD');
6757363;'qaco88@gmail.com';264457;37779;7;TO_DATE('2013-12-01','YYYY-MM-DD');3813093;TO_DATE('2015-08-12','YYYY-MM-DD');
6757363;'weqo42@gmail.com';258255;28695;9;TO_DATE('2013-11-30','YYYY-MM-DD');5170613;TO_DATE('2015-05-07','YYYY-MM-DD');
6757363;'xuze3@yahoo.com';258731;36961;7;TO_DATE('2013-12-04','YYYY-MM-DD');2825773;TO_DATE('2015-06-11','YYYY-MM-DD');
6757363;'zufo3@hotmail.com';184047;23005;8;TO_DATE('2013-11-30','YYYY-MM-DD');5619900;TO_DATE('2015-07-12','YYYY-MM-DD');
9144669;'nobe91@yahoo.com';151716;16857;9;TO_DATE('2013-09-03','YYYY-MM-DD');1150880;TO_DATE('2014-04-04','YYYY-MM-DD');
9144669;'re16@uniandes.edu.co';45731;4573;10;TO_DATE('2013-09-02','YYYY-MM-DD');7025658;TO_DATE('2014-05-13','YYYY-MM-DD');
9238140;'bi18@yahoo.com';157045;9815;16;TO_DATE('2014-03-06','YYYY-MM-DD');2899541;TO_DATE('2014-07-09','YYYY-MM-DD');
9238140;'bilu91@gmail.com';106076;10607;10;TO_DATE('2014-03-03','YYYY-MM-DD');1721141;TO_DATE('2014-12-19','YYYY-MM-DD');
9238140;'fu41@hotmail.com';246566;24656;10;TO_DATE('2014-03-03','YYYY-MM-DD');9601779;TO_DATE('2014-11-03','YYYY-MM-DD');
9238140;'leju18@hotmail.com';287764;26160;11;TO_DATE('2014-03-04','YYYY-MM-DD');2730967;TO_DATE('2014-08-28','YYYY-MM-DD');
9238140;'rofi34@gmail.com';61241;3402;18;TO_DATE('2014-03-02','YYYY-MM-DD');3948193;TO_DATE('2014-08-13','YYYY-MM-DD');
9238140;'to8@yahoo.com';123398;8814;14;TO_DATE('2014-02-27','YYYY-MM-DD');8613302;TO_DATE('2014-06-09','YYYY-MM-DD');
9238140;'ya84@uniandes.edu.co';84150;5610;15;TO_DATE('2014-02-24','YYYY-MM-DD');801997;TO_DATE('2014-11-07','YYYY-MM-DD');
9020225;'jaqe80@uniandes.edu.co';272652;11854;23;TO_DATE('2013-09-11','YYYY-MM-DD');4941401;TO_DATE('2013-09-21','YYYY-MM-DD');
9020225;'pa82@uniandes.edu.co';98787;7599;13;TO_DATE('2013-09-15','YYYY-MM-DD');9405480;TO_DATE('2013-09-26','YYYY-MM-DD');
9020225;'xa62@uniandes.edu.co';22535;1325;17;TO_DATE('2013-09-14','YYYY-MM-DD');4364804;TO_DATE('2013-09-22','YYYY-MM-DD');
9020225;'xiju86@hotmail.com';53963;4151;13;TO_DATE('2013-09-11','YYYY-MM-DD');5376042;TO_DATE('2013-09-19','YYYY-MM-DD');
7205441;'qaco88@gmail.com';74035;3896;19;TO_DATE('2013-05-09','YYYY-MM-DD');9898720;TO_DATE('2014-06-20','YYYY-MM-DD');
5176134;'bi18@yahoo.com';266970;53394;5;TO_DATE('2013-07-09','YYYY-MM-DD');7791918;TO_DATE('2013-12-26','YYYY-MM-DD');
5176134;'bilu91@gmail.com';52721;10544;5;TO_DATE('2013-07-15','YYYY-MM-DD');9341212;TO_DATE('2014-05-11','YYYY-MM-DD');
5176134;'leju18@hotmail.com';134804;14978;9;TO_DATE('2013-07-05','YYYY-MM-DD');2066331;TO_DATE('2013-11-14','YYYY-MM-DD');
5176134;'lodi27@hotmail.com';183272;36654;5;TO_DATE('2013-07-15','YYYY-MM-DD');3081341;TO_DATE('2013-10-23','YYYY-MM-DD');
5176134;'ne45@yahoo.com';176119;22014;8;TO_DATE('2013-07-06','YYYY-MM-DD');6879384;TO_DATE('2014-01-06','YYYY-MM-DD');
5176134;'nobe91@yahoo.com';251944;50388;5;TO_DATE('2013-07-11','YYYY-MM-DD');2312916;TO_DATE('2014-02-10','YYYY-MM-DD');
5176134;'pavi78@uniandes.edu.co';195795;39159;5;TO_DATE('2013-07-08','YYYY-MM-DD');896924;TO_DATE('2014-03-03','YYYY-MM-DD');
