NUMERO;COD_USUARIO;FECHA_CREACION;FECHA_ESPERADA_ENTREGA;FECHA_ENTREGA;PRECIO_CABANDES;HA_SIDO_CANCELADO;HA_SIDO_ENTREGADO;
1907422;'ra4@gmail.com';TO_DATE('2013-12-22','YYYY-MM-DD');TO_DATE('2014-01-03','YYYY-MM-DD');NULL;243849;'No';'No';
2742690;'le82@hotmail.com';TO_DATE('2014-03-30','YYYY-MM-DD');TO_DATE('2014-04-14','YYYY-MM-DD');NULL;146379;'Si';'No';
643030;'ki77@gmail.com';TO_DATE('2013-08-06','YYYY-MM-DD');TO_DATE('2013-08-15','YYYY-MM-DD');NULL;182405;'No';'No';
3858894;'vigi73@hotmail.com';TO_DATE('2013-12-01','YYYY-MM-DD');TO_DATE('2013-12-13','YYYY-MM-DD');NULL;138216;'Si';'No';
6329455;'gipe93@hotmail.com';TO_DATE('2014-03-23','YYYY-MM-DD');TO_DATE('2014-03-31','YYYY-MM-DD');TO_DATE('2014-03-26','YYYY-MM-DD');48796;'No';'Si';
3580979;'mi71@yahoo.com';TO_DATE('2013-04-21','YYYY-MM-DD');TO_DATE('2013-05-04','YYYY-MM-DD');NULL;105558;'No';'No';
9267651;'juqi93@yahoo.com';TO_DATE('2013-05-24','YYYY-MM-DD');TO_DATE('2013-06-08','YYYY-MM-DD');TO_DATE('2013-06-08','YYYY-MM-DD');22290;'No';'Si';
8315158;'nami42@uniandes.edu.co';TO_DATE('2013-08-23','YYYY-MM-DD');TO_DATE('2013-09-03','YYYY-MM-DD');NULL;98053;'No';'No';
8115441;'nuku12@yahoo.com';TO_DATE('2013-12-19','YYYY-MM-DD');TO_DATE('2014-01-02','YYYY-MM-DD');NULL;168922;'No';'No';
6741652;'sefi96@uniandes.edu.co';TO_DATE('2013-10-09','YYYY-MM-DD');TO_DATE('2013-10-18','YYYY-MM-DD');NULL;250136;'Si';'No';
8108354;'vazo63@uniandes.edu.co';TO_DATE('2013-06-09','YYYY-MM-DD');TO_DATE('2013-06-19','YYYY-MM-DD');NULL;139592;'No';'No';
5466460;'gipe93@hotmail.com';TO_DATE('2013-05-14','YYYY-MM-DD');TO_DATE('2013-05-24','YYYY-MM-DD');TO_DATE('2013-05-21','YYYY-MM-DD');280179;'No';'Si';
7656490;'nifo46@uniandes.edu.co';TO_DATE('2013-05-11','YYYY-MM-DD');TO_DATE('2013-05-24','YYYY-MM-DD');TO_DATE('2013-05-23','YYYY-MM-DD');255212;'No';'Si';
8675052;'ku31@uniandes.edu.co';TO_DATE('2013-10-04','YYYY-MM-DD');TO_DATE('2013-10-16','YYYY-MM-DD');NULL;98484;'No';'No';
3559651;'naja94@yahoo.com';TO_DATE('2013-07-17','YYYY-MM-DD');TO_DATE('2013-07-28','YYYY-MM-DD');NULL;210817;'No';'No';
285010;'beno69@gmail.com';TO_DATE('2013-09-05','YYYY-MM-DD');TO_DATE('2013-09-14','YYYY-MM-DD');NULL;148221;'No';'No';
7797077;'wo79@yahoo.com';TO_DATE('2013-07-31','YYYY-MM-DD');TO_DATE('2013-08-15','YYYY-MM-DD');TO_DATE('2013-08-10','YYYY-MM-DD');182343;'No';'Si';
7818665;'bi73@uniandes.edu.co';TO_DATE('2014-03-25','YYYY-MM-DD');TO_DATE('2014-04-06','YYYY-MM-DD');NULL;31847;'No';'No';
526937;'qedi8@yahoo.com';TO_DATE('2013-04-30','YYYY-MM-DD');TO_DATE('2013-05-09','YYYY-MM-DD');NULL;201382;'No';'No';
8786677;'te97@gmail.com';TO_DATE('2014-04-08','YYYY-MM-DD');TO_DATE('2014-04-18','YYYY-MM-DD');NULL;72491;'No';'No';
3123909;'benu23@uniandes.edu.co';TO_DATE('2014-01-05','YYYY-MM-DD');TO_DATE('2014-01-14','YYYY-MM-DD');NULL;163472;'No';'No';
3780445;'nuku12@yahoo.com';TO_DATE('2013-07-01','YYYY-MM-DD');TO_DATE('2013-07-14','YYYY-MM-DD');NULL;177820;'Si';'No';
6265414;'pa11@hotmail.com';TO_DATE('2013-12-03','YYYY-MM-DD');TO_DATE('2013-12-10','YYYY-MM-DD');NULL;226661;'Si';'No';
1565260;'sefi96@uniandes.edu.co';TO_DATE('2014-03-28','YYYY-MM-DD');TO_DATE('2014-04-09','YYYY-MM-DD');TO_DATE('2014-04-06','YYYY-MM-DD');42367;'No';'Si';
9624339;'me32@uniandes.edu.co';TO_DATE('2014-03-17','YYYY-MM-DD');TO_DATE('2014-03-28','YYYY-MM-DD');TO_DATE('2014-03-30','YYYY-MM-DD');201336;'No';'Si';
5750902;'le82@hotmail.com';TO_DATE('2014-03-21','YYYY-MM-DD');TO_DATE('2014-04-04','YYYY-MM-DD');TO_DATE('2014-04-03','YYYY-MM-DD');160658;'No';'Si';
8818896;'ge36@yahoo.com';TO_DATE('2013-07-08','YYYY-MM-DD');TO_DATE('2013-07-23','YYYY-MM-DD');TO_DATE('2013-07-18','YYYY-MM-DD');123784;'No';'Si';
8290245;'xe69@gmail.com';TO_DATE('2014-04-10','YYYY-MM-DD');TO_DATE('2014-04-18','YYYY-MM-DD');TO_DATE('2014-04-21','YYYY-MM-DD');63518;'No';'Si';
4677495;'juqi93@yahoo.com';TO_DATE('2014-02-15','YYYY-MM-DD');TO_DATE('2014-02-28','YYYY-MM-DD');NULL;182418;'Si';'No';
7650332;'mare65@hotmail.com';TO_DATE('2013-11-15','YYYY-MM-DD');TO_DATE('2013-11-22','YYYY-MM-DD');NULL;238160;'No';'No';
2649476;'ga61@hotmail.com';TO_DATE('2013-06-19','YYYY-MM-DD');TO_DATE('2013-06-30','YYYY-MM-DD');TO_DATE('2013-06-30','YYYY-MM-DD');298059;'No';'Si';
9195023;'do2@gmail.com';TO_DATE('2013-07-27','YYYY-MM-DD');TO_DATE('2013-08-09','YYYY-MM-DD');TO_DATE('2013-08-08','YYYY-MM-DD');210351;'No';'Si';
3935690;'de37@uniandes.edu.co';TO_DATE('2014-03-06','YYYY-MM-DD');TO_DATE('2014-03-21','YYYY-MM-DD');NULL;66521;'No';'No';
9172543;'geqo14@gmail.com';TO_DATE('2013-12-28','YYYY-MM-DD');TO_DATE('2014-01-05','YYYY-MM-DD');NULL;131144;'No';'No';
5254090;'mi14@uniandes.edu.co';TO_DATE('2013-09-05','YYYY-MM-DD');TO_DATE('2013-09-17','YYYY-MM-DD');TO_DATE('2013-09-15','YYYY-MM-DD');155527;'No';'Si';
621470;'mi71@yahoo.com';TO_DATE('2013-04-29','YYYY-MM-DD');TO_DATE('2013-05-14','YYYY-MM-DD');NULL;158543;'Si';'No';
1994614;'ni44@uniandes.edu.co';TO_DATE('2013-10-08','YYYY-MM-DD');TO_DATE('2013-10-17','YYYY-MM-DD');TO_DATE('2013-10-22','YYYY-MM-DD');89878;'No';'Si';
4957440;'sapu23@gmail.com';TO_DATE('2014-01-27','YYYY-MM-DD');TO_DATE('2014-02-10','YYYY-MM-DD');TO_DATE('2014-02-11','YYYY-MM-DD');142877;'No';'Si';
9594036;'daco57@hotmail.com';TO_DATE('2014-03-02','YYYY-MM-DD');TO_DATE('2014-03-17','YYYY-MM-DD');NULL;161247;'Si';'No';
