COD_USUARIO;COD_TIPO_PRODUCTO;CALIFICACION;
'bi18@yahoo.com';2;0.9;
'nese28@uniandes.edu.co';2;3.1;
'ko62@hotmail.com';1;NULL;
'fo67@yahoo.com';1;NULL;
'juzo69@yahoo.com';1;1.1;
'vima99@yahoo.com';1;2.1;
'xe60@hotmail.com';2;NULL;
'rola90@uniandes.edu.co';1;NULL;
'go36@gmail.com';3;0.9;
'xa62@uniandes.edu.co';1;1.1;
're16@uniandes.edu.co';2;2.1;
'bilu91@gmail.com';2;NULL;
'xiju86@hotmail.com';1;4.6;
'vi15@gmail.com';3;NULL;
'qe95@uniandes.edu.co';2;NULL;
'vu53@hotmail.com';3;NULL;
'le97@uniandes.edu.co';1;NULL;
'to91@gmail.com';3;NULL;
'roha13@uniandes.edu.co';2;NULL;
'pixu63@uniandes.edu.co';3;1.0;
'vomu47@yahoo.com';1;1.9;
'lu70@gmail.com';1;NULL;
'xuya77@hotmail.com';2;3.9;
'vazi20@hotmail.com';2;2.0;
'joca23@hotmail.com';1;2.4;
'ya84@uniandes.edu.co';2;0.9;
'dixu22@yahoo.com';3;4.0;
'pa82@uniandes.edu.co';1;4.7;
'rofi34@gmail.com';2;4.5;
'po62@yahoo.com';3;3.1;
'leju18@hotmail.com';2;1.5;
'ti55@uniandes.edu.co';1;NULL;
'hexo12@yahoo.com';3;4.0;
'lu59@uniandes.edu.co';2;NULL;
'lodi27@hotmail.com';2;NULL;
'soxo3@gmail.com';1;0.3;
'ke46@gmail.com';1;NULL;
'sopu71@gmail.com';1;2.5;
'nobe91@yahoo.com';2;4.2;
'ne45@yahoo.com';2;0.7;
'qaco88@gmail.com';3;2.9;
'ceti18@hotmail.com';1;NULL;
'tayu63@gmail.com';1;4.0;
'guwa51@hotmail.com';1;4.4;
'weqo42@gmail.com';3;NULL;
'na80@gmail.com';1;0.0;
'peqe75@gmail.com';3;0.8;
'xuze3@yahoo.com';3;0.8;
'du32@hotmail.com';1;1.4;
'li12@yahoo.com';2;2.8;
'ce47@uniandes.edu.co';1;NULL;
'to8@yahoo.com';2;4.4;
'kido42@uniandes.edu.co';3;NULL;
'ru61@uniandes.edu.co';1;NULL;
'jaqe80@uniandes.edu.co';1;1.8;
'paki19@yahoo.com';1;1.7;
'fu41@hotmail.com';2;2.6;
'zufo3@hotmail.com';3;2.2;
'pavi78@uniandes.edu.co';2;NULL;
'seqo49@uniandes.edu.co';2;1.3;
'yi85@uniandes.edu.co';1;NULL;
'bu86@yahoo.com';3;NULL;
'mo36@gmail.com';2;3.7;
'lo35@uniandes.edu.co';3;3.1;
'tu39@yahoo.com';2;NULL;
